date_time,1A00_1,1A01_1,1A02_1,1A03_1,1A03_2,1A03_3,1A03_4,1A03_5,1A03_6,1A04_1,1A04_2,1A04_3,1A04_4,1A04_5,1A04_6,1A05_1,1A05_2,1A05_3,1A05_4,1A05_5,1A05_6,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A06_6,1A06_7,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A01_2,2A01_3,2A01_4,2A01_5,2A02_1,2A02_2,2A02_3,2A02_4,2A02_5,2A02_6,2A02_7,2A02_8,2A02_9,2A03_1,2A03_2,2A03_3,2A03_4,2A03_5,2A03_6,2A03_7,2A03_8,2A03_9,2A04_1,2A04_2,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A06_6,2A06_7,2A07_1,2A08_1
2019-01-01T00:00:00,3.5,5728601,1.2,627650.62,431144.69,415333.19,0,0,0,119089.1,113027.4,49256.61,96854.96,127223.84,0,144214.98,356067.12,198148.16,7370.32,8242.64,10.24,1547564.88,197284.23,182674,4023.48,0,0,0,231516.56,853479.94,0.04,0,0,0,0,6136.48,902.28,22181.51,0,1041424.94,21452.61,43835.54,46069.14,22240.02,5407.89,765514.38,963707.44,0,0,71740.29,417.77,0,16595.38,0,0,0,0,0,3042072.25,319.5,1150591.5,596566,345833.59,0,676394.06,672614.06,254306.41,54549.45,0,0.09,0,8.4,6736607.5
2019-01-01T01:00:00,3.5,5728696.5,1.2,627655.38,431151.31,415336.41,0,0,0,119090.4,113030.58,49257.36,96857.08,127224.56,0,144220.58,356086.25,198151.84,7370.48,8242.96,10.24,1547590.25,197285.05,182674.8,4023.48,0,0,0,231518.64,853494.94,0.04,0,0,0,0,6136.56,902.32,22181.67,0,1041450.12,21452.76,43835.92,46069.48,22240.52,5407.91,765529.75,963730.62,0,0,71741.76,417.77,0,16595.76,0,0,0,0,0,3042139.5,319.5,1150603.25,596576.31,345838.41,0,676404.19,672629.19,254309.28,54550.74,0,0.09,0,8.4,6736730.5
2019-01-01T02:00:00,3.5,5728792,1.2,627660.12,431158.03,415339.53,0,0,0,119091.7,113033.76,49258.14,96859.22,127225.28,0,144225.84,356105.22,198155.52,7370.56,8243.12,10.24,1547615.5,197285.84,182675.59,4023.48,0,0,0,231520.64,853509.94,0.04,0,0,0,0,6136.64,902.34,22181.81,0,1041475.38,21452.91,43836.34,46069.8,22241.02,5407.93,765545.12,963753.75,0,0,71743.23,417.77,0,16596.12,0,0,0,0,0,3042206.5,319.5,1150615,596586.62,345843.19,0,676413.94,672643.5,254312.22,54552,0,0.09,0,8.4,6736852
2019-01-01T03:00:00,3.5,5728886,1.2,627664.81,431164.69,415342.62,0,0,0,119093,113036.94,49258.92,96861.36,127225.92,0,144230.92,356124.38,198159.2,7370.72,8243.36,10.24,1547641,197286.64,182676.41,4023.48,0,0,0,231522.72,853524.94,0.04,0,0,0,0,6136.72,902.36,22181.94,0,1041500.69,21453.04,43836.6,46070.06,22241.52,5407.95,765560.5,963776.88,0,0,71744.76,417.77,0,16596.51,0,0,0,0,0,3042273.5,319.5,1150626.25,596596.88,345848,0,676423.62,672657.38,254315.09,54553.26,0,0.09,0,8.4,6736972.5
2019-01-01T04:00:00,3.5,5728981.5,1.2,627669.62,431171.41,415345.75,0,0,0,119094.3,113040.18,49259.67,96863.5,127226.68,0,144236.02,356143.25,198162.95,7370.88,8243.6,10.24,1547665.88,197287.44,182677.2,4023.48,0,0,0,231524.72,853540,0.04,0,0,0,0,6136.8,902.38,22182.08,0,1041526.06,21453.19,43837.08,46070.42,22242.02,5407.97,765575.81,963800.19,0,0,71746.32,417.77,0,16596.87,0,0,0,0,0,3042341,319.5,1150636.62,596607.12,345852.88,0,676433.25,672671.38,254318.05,54554.52,0,0.09,0,8.4,6737093
2019-01-01T05:00:00,3.5,5729076.5,1.2,627674.31,431178.06,415348.97,0,0,0,119095.6,113043.36,49260.45,96865.64,127227.36,0,144241.06,356162.41,198166.64,7371.04,8243.76,10.24,1547691.38,197288.23,182678,4023.48,0,0,0,231526.72,853554.88,0.04,0,0,0,0,6136.88,902.4,22182.23,0,1041551.25,21453.33,43837.34,46070.66,22242.52,5407.98,765591.19,963822.88,0,0,71747.88,417.77,0,16597.23,0,0,0,0,0,3042407.75,319.5,1150646.5,596617.25,345857.69,0,676442.88,672685.62,254320.98,54555.78,0,0.09,0,8.4,6737212
2019-01-01T06:00:00,3.5,5729171.5,1.2,627679,431184.66,415352,0,0,0,119097,113046.54,49261.2,96867.76,127228.08,0,144246.14,356181.41,198170.23,7371.12,8244,10.24,1547716.62,197289.05,182678.8,4023.48,0,0,0,231528.8,853569.69,0.04,0,0,0,0,6136.96,902.44,22182.36,0,1041576.75,21453.49,43837.58,46070.92,22243,5408,765606.56,963846,0,0,71749.41,417.77,0,16597.64,0,0,0,0,0,3042475,319.5,1150656.25,596627.38,345862.41,0,676452.56,672699.94,254323.8,54557.07,0,0.09,0,8.4,6737331
2019-01-01T07:00:00,3.5,5729266.5,1.2,627683.69,431191.19,415355.19,0,0,0,119098.3,113049.72,49261.95,96869.86,127228.76,0,144251.2,356200.44,198173.92,7371.28,8244.24,10.24,1547742,197289.84,182679.52,4023.48,0,0,0,231530.8,853584.62,0.04,0,0,0,0,6137.04,902.46,22182.51,0,1041601.94,21453.65,43838.14,46071.16,22243.48,5408.02,765621.69,963868.81,0,0,71750.91,417.77,0,16598.03,0,0,0,0,0,3042541.75,319.5,1150666,596637.69,345867.19,0,676462.31,672712.56,254326.73,54558.33,0,0.09,0,8.4,6737449.5
2019-01-01T08:00:00,3.5,5729358,1.2,627688.5,431197.75,415358.25,0,0,0,119099.6,113052.9,49262.73,96871.92,127229.48,0,144256.2,356218.81,198177.59,7371.44,8244.48,10.24,1547765,197290.64,182680.31,4023.48,0,0,0,231532.8,853599.44,0.04,0,0,0,0,6137.12,902.48,22182.67,0,1041627.12,21453.83,43838.64,46071.42,22243.98,5408.04,765637.12,963892.06,0,0,71752.44,417.77,0,16598.4,0,0,0,0,0,3042609.25,319.5,1150675.75,596648.31,345872,0,676472.81,672723.75,254329.69,54559.68,0,0.09,0,8.4,6737567
2019-01-01T09:00:00,3.5,5729464.5,1.2,627698.81,431204.22,415365.12,0,0,0,119100.9,113056.02,49263.51,96874.02,127230.24,0,144261.2,356237.03,198181.12,7371.6,8244.64,10.24,1547786.88,197291.44,182681.05,4023.48,0,0,0,231539.84,853616.56,0.04,0,0,0,0,6137.2,902.5,22182.81,0,1041651.88,21453.98,43839.1,46071.66,22244.44,5408.05,765652.5,963914.88,0,0,71753.94,417.77,0,16598.79,0,0,0,0,0,3042675.25,319.5,1150686.25,596659.25,345876.72,0,676483.81,672734.25,254332.5,54560.88,0,0.09,0,8.4,6737684.5
