date_time,1A01_1,1A02_1,1A03_1,1A04_1,1A04_2,1A04_3,1A04_4,1A04_5,1A05_1,1A05_2,1A05_3,1A05_4,1A05_5,1A05_6,1A05_7,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A06_6,2A01_1,2A01_2,2A01_3,2A01_4,2A01_5,2A01_6,2A01_7,2A02_1,2A02_2,2A02_3,2A02_4,2A02_5,2A02_6,2A02_7,2A03_1,2A03_2,2A04_1,2A04_2,2A04_3,2A04_4,2A04_5,2A05_1,2A05_2,2A05_3,2A05_4,2A05_5,2A06_1,2A07_1
2019-01-01T00:00:00,1.2,3492985.5,17.7,374.46,15581.52,475.44,862.24,1480399.62,113910,199967.77,46279.38,49079.44,183689.98,160680.41,527626.69,116952.9,60564.72,61361.68,29439.36,412343.44,67923.56,7322.08,0,1660.28,77996.2,24592.2,0,0,54735.28,1025.12,40768.8,302140.47,13514.64,474972.03,44640.3,1041662.81,9001.8,173062.95,66816.24,465575.19,432577.91,1.32,281826.72,317690.81,0,0,307715.59,0.9,3069271.5
2019-01-01T01:00:00,1.2,3493025.5,17.7,374.46,15581.76,475.44,862.24,1480417.25,113911.44,199974.16,46280.94,49079.92,183693,160682.78,527628.62,116952.99,60565.12,61361.68,29439.68,412347.44,67923.74,7322.24,0,1660.28,77997.76,24592.48,0,0,54735.96,1025.12,40769.97,302150,13514.64,474980.38,44641.2,1041685.62,9001.8,173066.08,66817.36,465581.59,432584.41,1.32,281831.38,317699.59,0,0,307721.41,0.9,3069330.5
2019-01-01T02:00:00,1.2,3493065,17.7,374.46,15582.08,475.44,862.24,1480434.88,113912.94,199980.64,46282.5,49080.4,183696.02,160685.16,527630.5,116953.09,60565.52,61361.76,29440,412351.38,67923.92,7322.4,0,1660.28,77999.28,24592.64,0,0,54736.68,1025.12,40771.14,302159.84,13514.64,474988.75,44642.1,1041708.38,9001.8,173069.2,66818.48,465587.69,432590.97,1.32,281836.09,317708.31,0,0,307727.16,0.9,3069388.5
2019-01-01T03:00:00,1.2,3493105.5,17.7,374.46,15582.8,475.44,862.24,1480452.5,113914.44,199987.12,46284.06,49080.96,183699.06,160687.55,527632.5,116953.18,60565.84,61361.76,29440.4,412355.38,67924.1,7322.56,0,1660.28,78000.84,24592.8,0,0,54737.4,1025.12,40772.31,302170.09,13514.64,474997.12,44643.01,1041731.62,9001.8,173072.31,66819.6,465593.84,432597.44,1.32,281840.62,317717.12,0,0,307732.91,0.9,3069447.5
2019-01-01T04:00:00,1.2,3493146.5,17.7,374.46,15583.68,475.52,862.24,1480470.12,113915.94,199993.69,46285.62,49081.44,183702.09,160689.94,527634.81,116953.28,60566.24,61361.84,29440.72,412359.28,67924.3,7322.64,0,1660.28,78002.4,24592.94,0,0,54738.12,1025.12,40773.51,302180.16,13514.7,475005.53,44643.91,1041754.81,9001.8,173075.52,66820.72,465599.91,432604,1.32,281845.28,317725.84,0,0,307738.75,0.9,3069506.5
2019-01-01T05:00:00,1.2,3493186,17.7,374.46,15584,475.52,862.24,1480487.62,113917.38,200000.16,46287.18,49081.92,183705.09,160692.31,527636.81,116953.37,60566.56,61361.84,29441.04,412363.28,67924.48,7322.8,0,1660.28,78003.96,24593.1,0,0,54738.84,1025.12,40774.71,302190.31,13514.7,475013.88,44644.82,1041778,9001.8,173078.64,66821.76,465606.09,432610.56,1.32,281849.91,317734.62,0,0,307744.44,0.9,3069565.5
2019-01-01T06:00:00,1.2,3493226,17.7,374.46,15584.32,475.52,862.24,1480505.25,113918.82,200006.64,46288.74,49082.4,183708.09,160694.69,527638.62,116953.47,60566.96,61361.92,29441.36,412367.28,67924.66,7322.96,0,1660.28,78005.48,24593.26,0,0,54739.52,1025.12,40775.91,302200.31,13514.7,475022.25,44645.72,1041800.81,9001.8,173081.77,66822.88,465612.09,432617.03,1.32,281854.56,317743.44,0,0,307750.12,0.9,3069623.5
2019-01-01T07:00:00,1.2,3493272,17.7,374.46,15584.56,475.52,862.24,1480522.88,113920.26,200013.05,46290.24,49082.88,183711.08,160697.05,527648,116953.56,60567.28,61361.92,29441.68,412371.19,67924.84,7323.12,0,1660.28,78007,24593.4,0,0,54740.28,1025.12,40777.08,302211.91,13514.7,475030.62,44646.61,1041825.38,9001.8,173084.8,66824,465618.09,432623.59,1.32,281859.12,317752.09,0,0,307755.84,0.9,3069683.5
2019-01-01T08:00:00,1.2,3493356,17.7,374.46,15584.88,475.52,862.24,1480540.12,113921.7,200019.36,46291.8,49083.36,183714.05,160699.38,527695,116953.65,60567.6,61362,29442,412375.19,67925.02,7323.28,0,1660.28,78008.52,24593.56,0,0,54741.24,1025.12,40778.28,302223.91,13514.76,475038.97,44647.51,1041850.62,9001.8,173087.92,66825.04,465627.12,432630.62,1.32,281863.91,317760.62,0,0,307756.62,0.9,3069742.5
2019-01-01T09:00:00,1.2,3493437.5,17.7,374.46,15585.2,475.52,862.24,1480557.75,113923.14,200025.77,46293.3,49083.84,183717,160702.06,527736.94,116953.74,60568,61362,29442.32,412382.09,67925.18,7323.36,0,1660.28,78010,24593.92,0,0,54741.92,1025.12,40779.45,302235.69,13514.82,475047.31,44648.41,1041875.62,9001.8,173091.12,66826.24,465639.75,432637.03,1.32,281868.88,317769.28,0,0,307756.69,0.9,3069803.5
