date_time,1A01_1,1A02_1,1A03_1,1A04_1,1A04_2,1A04_3,1A05_1,1A05_2,1A05_3,1A05_4,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A02_1,2A03_1,2A04_1,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A07_1,2A07_2,2A08_1,2A08_2,2A08_3,2A08_4,2A08_5,2A08_6,2A08_7,2A08_8,2A08_9,2A09_1,2A09_2,2A09_3,2A09_4,2A09_5,2A09_6,2A09_7,2A09_8,2A09_9,2A10_1,2A10_2,2A10_3,2A10_4,2A10_5,2A10_6,2A10_7,2A10_8,2A10_9
2019-01-01T00:00:00,5713913.5,0,0,1411803.88,450636.62,98.94,829160.62,517647.03,389055.91,0,347370.38,389578.75,53272.96,0,0,145053.33,129887.76,229439.25,396381.59,0,0,0,0,6569437,1.35,0.3,1464870.75,969419.81,642814.31,268625.28,403941.44,359658.25,576163.06,375131.12,0,1548449.25,213.6,154.36,166.02,54428.77,68990.63,40110.2,55206.84,19763.58,0,0,18151.95,12697.04,23585.52,10131.6,11226.7,10931.08,8775.6,0,0,762.15,696.64,64238.82,79219.58,12906.19,4727.81,1036970.81,10800.79,5936.2
2019-01-01T01:00:00,5713958.5,0,0,1411821.5,450643.41,98.94,829164.94,517650.25,389060.41,0,347373.12,389578.75,53273.12,0,0,145055.02,129888.28,229439.31,396381.59,0,0,0,0,6569519,1.35,0.3,1464893.12,969435.38,642816.94,268626.41,403944,359659.88,576165.06,375136.09,0,1548478.75,213.6,154.36,166.02,54429.98,68992.02,40110.48,55207.32,19763.76,0,0,18152.25,12697.18,23586.2,10131.8,11226.7,10931.12,8775.65,0,0,762.17,696.66,64239.91,79220.26,12906.23,4727.86,1036992.38,10801.18,5936.39
2019-01-01T02:00:00,5714001.5,0,0,1411839.5,450650.28,98.94,829168.81,517653.12,389062.62,0,347376,389578.75,53273.36,0,0,145056.72,129888.8,229439.38,396381.59,0,0,0,0,6569600,1.35,0.3,1464914.88,969451,642819.75,268627.59,403946.56,359661.47,576166.94,375140.62,0,1548507.62,213.6,154.36,166.04,54431.19,68993.41,40110.76,55207.68,19763.91,0,0,18152.55,12697.35,23586.79,10131.95,11226.75,10931.12,8775.65,0,0,762.19,696.67,64240.99,79220.95,12906.27,4727.93,1037013.88,10801.55,5936.55
2019-01-01T03:00:00,5714043,0,0,1411856.88,450657.06,98.94,829172.81,517656,389064.47,0,347378.47,389578.75,53273.52,0,0,145058.45,129889.34,229439.44,396381.59,0,0,0,0,6569680,1.35,0.3,1464936.5,969466.81,642822.5,268628.78,403949.12,359663.09,576168.94,375144.72,0,1548536.38,213.6,154.37,166.04,54432.41,68994.81,40111.12,55208.08,19764.09,0,0,18152.85,12697.52,23587.37,10132.15,11226.8,10931.16,8775.7,0,0,762.2,696.69,64242.08,79221.63,12906.31,4728,1037035.19,10801.94,5936.72
2019-01-01T04:00:00,5714083.5,0,0,1411872.12,450663.91,98.94,829176.62,517658.88,389066.31,0,347381.59,389578.75,53273.76,0,0,145060.17,129889.86,229439.48,396381.59,0,0,0,0,6569758,1.35,0.3,1464958.12,969482.31,642825.38,268630.03,403951.59,359664.69,576170.88,375146.56,0,1548565.62,213.6,154.37,166.04,54433.63,68996.2,40111.52,55208.36,19764.27,0,0,18153.15,12697.69,23587.95,10132.35,11226.85,10931.2,8775.7,0,0,762.22,696.7,64243.17,79222.31,12906.35,4728.06,1037056.81,10802.32,5936.9
2019-01-01T05:00:00,5714123,0,0,1411887.25,450670.78,98.94,829180.62,517661.75,389068.16,0,347384.28,389578.75,53273.92,0,0,145061.88,129890.38,229439.52,396381.59,0,0,0,0,6569835,1.35,0.3,1464978.5,969497.62,642828,268631.22,403954.16,359666.31,576172.88,375148.31,0,1548594.38,213.6,154.37,166.04,54434.84,68997.59,40111.76,55208.76,19764.42,0,0,18153.45,12697.85,23588.63,10132.55,11226.9,10931.24,8775.75,0,0,762.24,696.72,64244.26,79223,12906.38,4728.13,1037078.19,10802.7,5937.06
2019-01-01T06:00:00,5714162,0,0,1411902.25,450677.28,98.94,829184.5,517664.47,389070,0,347387.28,389578.75,53274.08,0,0,145063.59,129890.9,229439.58,396381.59,0,0,0,0,6569910.5,1.35,0.3,1464998.38,969513,642830.62,268632.34,403956.62,359667.84,576174.81,375150.09,0,1548623.62,213.6,154.37,166.05,54436.05,68998.97,40112.04,55209.08,19764.6,0,0,18153.75,12698.01,23589.2,10132.75,11226.9,10931.28,8775.8,0,0,762.25,696.73,64245.33,79223.67,12906.42,4728.19,1037099.81,10803.08,5937.23
2019-01-01T07:00:00,5714200.5,0,0,1411917.12,450683.88,98.94,829188.31,517667.38,389071.75,0,347390.22,389578.75,53274.32,0,0,145065.3,129891.42,229439.64,396381.59,0,0,0,0,6569985.5,1.35,0.3,1465018.38,969528.12,642833.38,268633.53,403959.19,359669.44,576176.75,375151.84,0,1548652.38,213.6,154.38,166.05,54437.25,69000.34,40112.44,55209.52,19764.78,0,0,18154.05,12698.18,23589.78,10132.9,11226.95,10931.32,8775.8,0,0,762.27,696.74,64246.41,79224.35,12906.46,4728.26,1037121,10803.46,5937.4
2019-01-01T08:00:00,5714240,0,0,1411932.5,450690.72,98.94,829192,517670.09,389073.59,0,347392.97,389578.75,53274.48,0,0,145066.98,129891.94,229439.7,396381.59,0,0,0,0,6570063,1.35,0.3,1465040.38,969543.31,642836.06,268634.72,403961.59,359671,576178.56,375153.59,0,1548680.75,213.6,154.38,166.05,54438.44,69001.71,40112.8,55210,19764.96,0,0,18154.32,12698.35,23590.36,10133.1,11227,10931.36,8775.85,0,0,762.29,696.76,64247.5,79225.04,12906.5,4728.32,1037142.19,10803.83,5937.57
2019-01-01T09:00:00,5714290,0,0,1411949.5,450699.06,98.94,829195.81,517672.81,389075.69,0,347395.69,389578.75,53274.64,0,0,145068.98,129892.64,229439.77,396381.59,0,0,0,0,6570144.5,1.35,0.3,1465064.12,969560.81,642838.69,268635.84,403964.09,359672.53,576180.5,375155.28,0,1548710,213.6,154.38,166.05,54439.64,69003.08,40113.08,55210.52,19765.14,0,0,18154.62,12698.53,23590.94,10133.3,11227,10931.4,8775.85,0,0,762.3,696.77,64248.58,79226.01,12906.53,4728.38,1037163.38,10804.21,5937.73
