date_time,1A01_1,1A02_1,1A03_1,1A03_2,1A03_3,1A03_4,1A03_5,1A03_6,1A04_1,1A04_2,1A04_3,1A04_4,1A04_5,1A05_1,1A05_2,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A06_6,1A06_7,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A01_2,2A01_3,2A01_4,2A01_5,2A02_1,2A02_2,2A02_3,2A02_4,2A02_5,2A03_1,2A03_2,2A03_3,2A03_4,2A03_5,2A03_6,2A04_1,2A04_2,2A04_3,2A04_4,2A04_5,2A05_1,2A06_1,2A07_1
2019-01-01T00:00:00,11297954,9.6,747984.62,755568.38,826662.5,479987.75,127294.24,9378.87,464363.75,505832.56,797662.75,890278.94,710453.25,4998576.5,426.4,192711.44,2341731.25,41523.66,1818451.88,17862.66,0,0,35977.98,0,112020,185107.44,52039.44,213782.95,8.92,818975.25,1181339.75,231339.92,3373.6,0,903530,1420049.12,1324906.5,58659.76,0,7344.28,8396.04,793839.75,2453.36,2837.52,455824.12,1026370.56,997934.38,1514430.38,706333.94,0,1.5,11396392,567200960
2019-01-01T01:00:00,11298130,9.6,747996.75,755577.25,826672.38,479994.72,127295.44,9379.08,464365.44,505835.38,797668.88,890289.75,710455.06,4998690.5,426.4,192712.8,2341790.75,41524.75,1818488,17863.08,0,0,35978.1,0,112021.88,185115.88,52039.96,213787.08,8.92,818979.12,1181343.25,231340.77,3373.6,0,903548.31,1420052.5,1324909.12,58659.76,0,7344.36,8396.16,793845.12,2453.36,2837.64,455837.84,1026390.19,997949.38,1514452.5,706342.88,0,1.5,11396508,567200960
2019-01-01T02:00:00,11298310,9.6,748008.88,755586,826682.38,480001.91,127296.8,9379.29,464367.19,505837.59,797675.44,890302.19,710456.75,4998804.5,426.4,192714.41,2341850.25,41525.9,1818524.5,17863.49,0,0,35978.22,0,112023.8,185124.52,52040.4,213791.2,8.92,818982.88,1181346.88,231341.59,3373.6,0,903566.38,1420064.38,1324911.75,58659.76,0,7344.4,8396.28,793850.38,2453.36,2837.7,455851.59,1026410.25,997964,1514474.88,706353.06,0,1.5,11396635,567200960
2019-01-01T03:00:00,11298486,9.6,748020.94,755594.75,826692.38,480009.12,127298.16,9379.5,464368.88,505839.12,797681.75,890313.75,710458.5,4998917.5,426.4,192716,2341909.75,41526.99,1818560,17863.91,0,0,35978.34,0,112025.72,185133.16,52041.12,213795.36,8.92,818986.81,1181350.5,231342.48,3373.6,0,903584.5,1420076.38,1324914.38,58659.76,0,7344.48,8396.39,793855.5,2453.36,2837.82,455865.31,1026430.31,997978.81,1514496.5,706363.44,0,1.5,11396762,567200960
2019-01-01T04:00:00,11298664,9.6,748033.06,755603.62,826702.5,480016.25,127299.44,9379.71,464370.62,505840.56,797688.38,890324.56,710460.19,4999033,426.4,192717.2,2341969,41528.14,1818597.12,17864.33,0,0,35978.52,0,112027.56,185141.8,52041.64,213799.52,8.92,818990.88,1181354,231343.31,3373.6,0,903602.62,1420080.75,1324917,58659.76,0,7344.56,8396.48,793860.31,2453.36,2837.88,455879.09,1026450.25,997993.81,1514517.5,706373.69,0,1.5,11396880,567200960
2019-01-01T05:00:00,11298838,9.6,748045.06,755612.31,826712.5,480023.38,127300.72,9379.92,464372.31,505842.09,797694.62,890335.38,710461.94,4999146,426.4,192718.41,2342028.75,41529.26,1818633.25,17864.74,0,0,35978.64,0,112029.44,185150.44,52042.04,213803.69,8.92,818994.75,1181357.5,231344.16,3373.6,0,903620.62,1420084.38,1324919.62,58659.76,0,7344.64,8396.58,793865.81,2453.36,2838,455892.81,1026469.75,998008.62,1514538.5,706383.19,0,1.5,11396996,567200960
2019-01-01T06:00:00,11299012,9.6,748056.88,755621.25,826722.25,480030.47,127302,9380.22,464374,505843.53,797700.5,890346.12,710463.62,4999258.5,426.4,192719.52,2342088.25,41530.35,1818668.75,17865.15,0,0,35978.76,0,112031.28,185159.05,52042.48,213807.77,8.92,818998.62,1181361.12,231345,3373.6,0,903638.88,1420088,1324922.25,58659.76,0,7344.72,8396.7,793870.88,2453.36,2838.06,455906.53,1026487.94,998023.25,1514559.38,706392.06,0,1.5,11397110,567200960
2019-01-01T07:00:00,11299191,9.6,748070.75,755630.38,826732.56,480037.59,127303.2,9380.43,464375.69,505846.62,797706.94,890357.12,710465.25,4999371,426.4,192720.8,2342147.5,41531.45,1818705.25,17865.55,0,0,35978.88,0,112033.12,185167.64,52043.12,213810.72,8.92,819002.38,1181364.5,231345.72,3373.6,0,903656.5,1420091.38,1324924.75,58659.76,0,7344.8,8396.81,793876,2453.36,2838.18,455920.12,1026505.5,998040.38,1514580.12,706400.81,0,1.5,11397224,567200960
2019-01-01T08:00:00,11299396,9.6,748099.25,755640.62,826746.06,480044.81,127304.48,9380.64,464377.38,505854.16,797714.5,890368.06,710469.38,4999482.5,426.4,192722.72,2342206.75,41532.58,1818741,17865.95,0,0,35979,0,112034.96,185176.2,52044.52,213811.31,8.92,819006.31,1181372.12,231346.44,3373.6,0,903674.38,1420094.88,1324942.38,58659.76,0,7344.84,8397.15,793892.81,2453.36,2838.24,455933.47,1026525.12,998063.44,1514601.62,706408.62,0,1.5,11397376,567200960
2019-01-01T09:00:00,11299623,9.6,748133.62,755651.62,826760.94,480051.91,127305.76,9380.82,464378.97,505861.53,797721.81,890379.12,710486,4999597,426.4,192725.05,2342266,41533.67,1818776.75,17866.35,0,0,35979.12,0,112036.8,185184.8,52046.04,213814.69,8.92,819010.19,1181379.88,231347.16,3373.6,0,903692.12,1420102.25,1324963.38,58659.76,0,7344.92,8397.3,793916.5,2453.36,2838.36,455946.88,1026545.5,998086.75,1514635.88,706416.94,0,1.5,11397556,567200960
