date_time,1A03_1,1A03_2,1A04_1,1A04_2,1A04_3,1A04_4,1A04_7,1A06_5,1A06_8,1A07_1,1A07_11,1A07_12,1A07_2,1A07_3,1A07_8,2A01_3,2A01_4,2A01_5,2A01_6,2A03_1,2A03_4,2A03_5,2A03_6,1A01_1,1A02_1,1A05_1,1A05_2,2A04_5,2A05_1,2A06_1,2A07_1
2019-01-01T00:00:00,1119651.38,318418.47,688279.62,497147.34,472633.66,595276.12,0,11941.13,0.01,13101.52,329.14,422.2,38782.52,10659.33,16980.44,0,143227.31,137036,61513.11,0,180119.12,436213.12,1.48,7783923.5,2.1,1215570.75,0,0,2.1,5823042,168
2019-01-01T01:00:00,1119665.38,318422.09,688283.38,497149.16,472635.69,595282.06,0,11941.24,0.01,13101.64,329.14,422.21,38782.64,10659.33,16981.06,0,143228.69,137037.69,61514.67,0,180119.12,436214.59,1.48,7784004,2.1,1215594.62,0,0,2.1,5823078,168
2019-01-01T02:00:00,1119679.12,318425.44,688287.12,497150.91,472637.75,595288.25,0.0,11941.36,0.01,13101.92,329.15,422.22,38782.76,10659.34,16981.66,0.0,143230.05,137039.28,61516.2,0.0,180119.12,436215.97,1.48,7784083,2.1,1215618.25,0.0,0.0,2.1,5823114,168
2019-01-01T03:00:00,1119692.12,318428.88,688291.19,497152.69,472639.81,595291.69,0.0,11941.48,0.01,13102.04,329.16,422.22,38782.92,10659.34,16982.17,0.0,143231.42,137040.95,61517.76,0.0,180119.12,436217.34,1.48,7784160,2.1,1215642,0.0,0.0,2.1,5823150.5,168
2019-01-01T04:00:00,1119704.5,318432.25,688295.19,497154.44,472641.84,595293.81,0.0,11941.59,0.01,13102.16,329.17,422.23,38783.04,10659.34,16982.71,0.0,143232.78,137042.56,61519.32,0.0,180119.12,436218.72,1.48,7784235,2.1,1215666,0.0,0.0,2.1,5823186.5,168
2019-01-01T05:00:00,1119716.88,318435.53,688299,497156.25,472643.91,595295.88,0.0,11941.71,0.01,13102.28,329.18,422.23,38783.16,10659.34,16983.34,0.0,143234.14,137044.23,61520.85,0.0,180119.12,436220.09,1.48,7784309,2.1,1215689.62,0.0,0.0,2.1,5823223,168
2019-01-01T06:00:00,1119729.12,318438.72,688302.88,497158,472645.91,595297.88,0.0,11941.83,0.01,13102.52,329.18,422.24,38783.32,10659.34,16983.94,0.0,143235.52,137045.84,61522.38,0.0,180119.12,436221.47,1.48,7784382,2.1,1215713.25,0.0,0.0,2.1,5823258.5,168
2019-01-01T07:00:00,1119741.75,318441.91,688306.62,497159.75,472647.91,595299.94,0.0,11941.94,0.01,13102.64,329.19,422.25,38783.44,10659.34,16984.46,0.0,143236.59,137047.44,61522.86,0.0,180119.12,436221.78,1.48,7784456,2.1,1215736.75,0.0,0.0,2.1,5823292,168
2019-01-01T08:00:00,1119756.5,318445.28,688310.06,497161.44,472649.91,595302,0.0,11942.06,0.01,13102.8,329.2,422.26,38783.56,10659.34,16984.99,0.0,143237.67,137047.84,61523.04,0.0,180119.12,436221.97,1.48,7784533,2.1,1215760.75,0.0,0.0,2.1,5823324.5,168
2019-01-01T09:00:00,1119773.62,318448.47,688314.12,497163.16,472651.91,595304,0.0,11942.18,0.01,13102.92,329.21,422.26,38783.68,10659.34,16985.61,0.0,143240.25,137049.52,61523.16,0.0,180119.12,436222.09,1.48,7784615,2.1,1215784.75,0.0,0.0,2.1,5823362,168
