date_time,1AA1_1,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA2_1,1AA2_2,1AA2_3,1AA2_4,1AA2_5,1AA3_1,1AA3_2,1AA4_1,1AA5_1,1AA6_1,1AA7_1,2AA1_1,2AA2_1,2AA3_1,2AA4_1,2AA4_2,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA6_1,2AA7_1,2AA7_2,2AA7_3,2AA7_4,2AA7_5,2AA7_6,2AA7_7,2AA7_8,2AA8_1,2AA8_2,2AA8_3,2AA8_4,2AA8_5,2AA8_6,2AA8_7,2AA9_1,2AA9_2,2AA9_3,2AA9_4,2AA9_5,2AA9_6,2AA9_7
2019-07-03T17:00:00,67431.36,31211.58,206653.77,0,52.24,115328.28,0,48129.64,271763.53,0,80449.6,150787.08,1.8,1.68,22.5,983043.5,1356172,0,0.24,219379.2,0,17491.08,29228.32,0,0,999.24,1083381,83471.62,225499.77,0.56,7271.96,0,0,1601.8,0,399.04,169.02,43368.96,188943.59,0,0,10.89,319312.53,60865.56,47302.32,111759.37,0,0,772.19
2019-07-03T18:00:00,67431.6,31212.12,206653.77,0,52.24,115330.2,0,48129.64,271763.59,0,80449.6,150787.92,1.8,1.68,22.5,983047,1356196,0,0.24,219382.5,0,17491.26,29228.48,0,0,999.24,1083400.5,83472.96,225501.88,0.56,7274.24,0,0,1601.8,0,399.04,169.02,43369.12,188949.45,0,0,10.89,319317.59,60866.58,47303.43,111760.3,0,0,772.19
2019-07-03T19:00:00,67431.76,31212.6,206653.77,0,52.24,115332.36,0,48129.64,271763.59,0,80449.8,150788.77,1.8,1.68,22.5,983051,1356224,0,0.24,219390.3,0,17491.38,29228.72,0,0,999.24,1083420.25,83474.3,225504.03,0.56,7276.78,0,0,1601.8,0,399.04,169.02,43369.26,188955.23,0,0,10.89,319322.62,60867.81,47304.15,111761.23,0,0,772.19
2019-07-03T20:00:00,67432,31213.14,206653.77,0,52.24,115333.8,0,48131.84,271763.69,0,80449.8,150789.72,1.8,1.68,22.5,983056.5,1356252.5,0,0.24,219399.59,0,17491.56,29228.96,0,0,999.24,1083438.88,83475.76,225506.58,0.56,7277.42,0,0,1601.8,0,399.04,169.02,43369.46,188961.56,0,0,10.89,319327.69,60868.5,47304.87,111762.16,0,0,772.19
2019-07-03T21:00:00,67432.24,31213.68,206653.77,0,52.24,115335,0,48134.28,271763.75,0,80450,150790.8,1.8,1.68,22.5,983062,1356280.5,0,0.24,219408.59,0,17491.74,29229.12,0,0,999.24,1083457.5,83477.28,225509.19,0.56,7277.54,0,0,1601.85,0,399.04,169.02,43369.74,188968.27,0,0,10.89,319332.72,60869.19,47305.59,111763.09,0,0,772.19
2019-07-03T22:00:00,67432.4,31214.22,206653.77,0,52.24,115335.9,0,48136.72,271763.75,0,80450,150791.88,1.8,1.68,22.5,983067.5,1356308.5,0,0.24,219417.59,0,17491.92,29229.36,0,0,999.24,1083475.75,83478.78,225511.8,0.56,7277.66,0,0,1601.85,0,399.04,169.02,43369.84,188974.64,0,0,10.89,319337.78,60869.79,47306.28,111764.01,0,0,772.19
2019-07-03T23:00:00,67432.64,31214.76,206653.77,0,52.24,115337.1,0,48139.16,271763.84,0,80450.2,150792.84,1.8,1.68,22.5,983073,1356336,0,0.24,219426.91,0,17492.04,29229.6,0,0,999.24,1083493.5,83480.3,225514.41,0.56,7277.78,0,0,1601.85,0,399.04,169.02,43370.04,188980.52,0,0,10.89,319342.78,60870.42,47307,111764.94,0,0,772.19
2019-07-04T00:00:00,67432.8,31215.3,206653.77,0,52.24,115337.88,0,48141.56,271763.91,0,80450.2,150793.92,1.8,1.68,22.5,983078.5,1356359,0,0.24,219431.09,0,17492.22,29229.84,0,0,999.24,1083511.75,83481.8,225516.98,0.56,7277.9,0,0,1601.85,0,399.04,169.02,43370.14,188986.95,0,0,10.89,319347.81,60871.08,47307.72,111765.87,0,0,772.19
2019-07-04T01:00:00,67433.04,31215.84,206653.77,0,52.24,115338.6,0,48142.92,271764,0,80450.4,150795,1.8,1.68,22.5,983082.5,1356382,0,0.24,219434.7,0,17492.4,29230,0,0,999.24,1083530.75,83483.3,225519.59,0.56,7278,0,0,1601.9,0,399.04,169.02,43370.26,188994.3,0,0,10.89,319352.84,60871.68,47308.44,111766.79,0,0,772.19
2019-07-04T02:00:00,67433.28,31216.38,206653.77,0,52.24,115339.32,0,48144.28,271764,0,80450.4,150796.08,1.8,1.68,22.5,983086.5,1356404.5,0,0.24,219438.59,0,17492.52,29230.24,0,0,999.24,1083548.75,83484.82,225522.2,0.56,7278.12,0,0,1601.9,0,399.04,169.02,43370.36,189000.66,0,0,10.89,319357.88,60872.31,47309.16,111767.72,0,0,772.19
