date_time,MWL131,MWL132,MWL133,MWL134,MWL135,MWL136,MWL137,MWL201,MWL202,MWL203,MWL204,MWL205,MWL206,MWL207,MWL208,MWL209,MWL210,MWL211,MWL212,MWL213,MWL214,MWL215,MWL216,MWL217,MWL218,MWL219,MWL220,MWL221,MWL222,MWL223,MWL224,MWL225,MWL226,MWL227,MWL228,MWL229,MWL230,MWL231,MWL232,MWL233,MWL234,MWE303,MWE304,MWE305,MWE306,MWE307,MWE308,MWE309,MWE310,MWE311,MWE312,MWE313,MWE314,MWE315,MWL101,MWL116,MWL117,MWL118,MWL119,MWL120,MWL121,MWL122,MWL123,MWL124,MWL125,MWL126,MWL127,MWL128,MWL129,MWL130,MWE301,MWE302,MWL103,MWL104,MWL105,MWL106,MWL107,MWL108,MWL109,MWL110,MWL111,MWL112,MWL113,MWL114,MWL115,1AA1_1,B1AA1_1,B1AA2_1,B1AA2_2,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA1_6,1AA1_7,1AA2_1,1AA2_2,1AA2_3,1AA2_4,1AA2_5,1AA2_6,1AA2_7,1AA2_8,1AA3_1,1AA3_2,1AA3_3,1AA3_4,1AA3_5,1AA3_6,1AA3_7,1AA3_8,1AA4_1,1AA4_2,1AA4_3,1AA4_4,1AA4_5,1AA4_6,1AA5_1,1AA5_2,1AA5_3,1AA5_4,1AA5_5,1AA5_6,1AA5_7,1AA5_8,1AA6_1,1AA7_1,1AA8_1,1AA9_1,2AA1_1,2AA1_2,2AA1_3,2AA1_4,2AA1_5,2AA1_6,2AA1_7,2AA1_8,2AA2_1,2AA2_2,2AA2_3,2AA2_4,2AA2_5,2AA2_6,2AA2_7,2AA3_1,2AA3_2,2AA3_3,2AA3_4,2AA3_5,2AA3_6,2AA4_1,2AA4_2,2AA4_3,2AA4_4,2AA4_5,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA5_6,2AA5_7,2AA5_8,2AA6_1,2AA7_1,2AA8_1,3AA1_1,3AA1_2,3AA1_3,3AA1_4,3AA1_5,3AA1_6,3AA1_7,3AA1_8,3AA2_1,3AA2_2,3AA2_3,3AA2_4,3AA2_5,3AA2_6,3AA2_7,3AA3_1,3AA3_2,B1AA1_2,B1AA1_3,B1AA1_4,B1AA1_5,B1AA1_6,B1AA1_7,B1AA3_1,B1AA3_2,B1AA3_3,B1AA3_4,B1AA3_5,B1AA3_6,B1AA3_7,B1AA3_8,MWL102
2019-01-01T00:00:00,26493530,508993,21333056,12642792,2944,1232,15777413,1952646,38446328,26948886,251053,8927475,9000909,34196824,17557098,11507273,0,16209242,740762,11888235,689042,1874916,0,1098006,0,2129783,1232640,17149104,1383818,7430319,2696739,17904388,1028,2689511,10596,390210,1573550,2630348,7768398,7767,0,312277,61919,254664,165349,573131,2,321808,172888,0,1836288,1091816,28786360,1318,0,157051,126684,23268,143490,3936,16680348,1989464,224176,897,35259124,3666013,89239,1513,8089048,7345989,11139033,1881926,8509539,1,12295154,11613498,1508788,6880778,10953479,10559782,2535065,5562035,3079849,0,395143,0,8067959,4247927,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5805604.5,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6393115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657572.12,0,11682584,5857080,0,1,2,1209763,751611,408100,853677,1,32242614,798434,235967,1735726,15350321
2019-01-01T01:00:00,26493920,508995,21333212,12642970,2944,1232,15777604,1952654,38447264,26948952,251053,8927495,9000917,34196832,17557348,11509270,0,16209242,740762,11888241,689046,1874928,0,1098017,0,2129828,1232665,17149114,1383836,7430392,2696752,17904390,1028,2689518,10596,390211,1573591,2630400,7768504,7767,0,312279,61919,254664,165349,573135,2,321817,172888,0,1836296,1091887,28786968,1318,0,157066,126685,23268,143490,3936,16680349,1989485,224176,897,35261288,3666052,89239,1513,8089106,7345989,11139038,1881929,8509539,1,12295305,11613499,1508798,6880778,10953480,10559915,2535191,5562086,3079851,0,395155,0,8068018,4247983,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5805717,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6393339.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657583.19,0,11682586,5857083,0,1,2,1209776,751612,408103,853683,1,32243044,798438,235969,1735726,15350321
2019-01-01T02:00:00,26494296,508996,21333370,12643146,2944,1232,15777801,1952662,38448176,26949016,251053,8927514,9000925,34196840,17557350,11511263,0,16209242,740762,11888247,689052,1874939,0,1098030,0,2129874,1232689,17149124,1383853,7430478,2696765,17904392,1028,2689526,10596,390211,1573632,2630437,7768608,7767,0,312280,61920,254665,165350,573140,2,321825,172888,0,1836305,1091962,28787588,1318,0,157082,126686,23268,143490,3936,16680349,1989506,224176,897,35263448,3666090,89239,1513,8089165,7345989,11139043,1881932,8509539,1,12295456,11613499,1508807,6880778,10953482,10560049,2535347,5562137,3079852,0,395167,0,8068077,4248039,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5805830,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6393561.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657594.62,0,11682588,5857086,0,1,2,1209789,751612,408106,853688,1,32243478,798443,235971,1735726,15350321
2019-01-01T03:00:00,26494668,508997,21333516,12643325,2944,1232,15777990,1952670,38449096,26949084,251053,8927534,9000933,34196848,17557352,11512224,0,16209242,740762,11888254,689062,1874951,0,1098042,0,2129920,1232713,17149132,1383871,7430551,2696779,17904396,1028,2689534,10596,390212,1573672,2630490,7768713,7768,0,312281,61920,254665,165350,573144,2,321834,172888,0,1836313,1092037,28788216,1318,0,157097,126687,23268,143490,3936,16680350,1989527,224176,897,35265192,3666127,89239,1513,8089224,7345989,11139048,1881935,8509539,1,12295607,11613499,1508817,6880778,10953483,10560183,2535494,5562237,3079854,0,395179,0,8068136,4248095,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5805931,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6393678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657606,0,11682590,5857089,0,1,2,1209802,751613,408109,853704,1,32243908,798447,235974,1735726,15350321
2019-01-01T04:00:00,26495040,508999,21333652,12643504,2944,1232,15778182,1952677,38450020,26949152,251053,8927554,9000941,34196856,17557356,11514174,0,16209242,740762,11888260,689068,1874962,0,1098054,0,2129966,1232738,17149142,1383889,7430635,2696793,17904398,1028,2689541,10596,390212,1573713,2630538,7768818,7768,0,312282,61921,254666,165350,573148,2,321842,172888,0,1836321,1092116,28788814,1318,0,157112,126688,23268,143490,3936,16680351,1989548,224176,897,35267360,3666167,89239,1513,8089282,7345989,11139053,1881938,8509539,1,12295757,11613499,1508827,6880778,10953484,10560316,2535642,5562441,3079855,0,395191,0,8068195,4248151,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806045.5,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6393893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657617.12,0,11682593,5857092,0,1,2,1209815,751613,408112,853709,1,32244344,798451,235976,1735726,15350321
2019-01-01T05:00:00,26495422,509000,21333788,12643682,2944,1232,15778373,1952685,38450936,26949216,251053,8927573,9000949,34196864,17557356,11516159,0,16209242,740762,11888266,689073,1874973,0,1098066,0,2130012,1232763,17149152,1383906,7430708,2696806,17904400,1028,2689549,10596,390213,1573753,2630588,7768924,7768,0,312284,61921,254666,165350,573153,2,321851,172888,0,1836330,1092195,28789480,1318,0,157128,126689,23268,143490,3936,16680352,1989569,224176,897,35269524,3666193,89239,1513,8089340,7345989,11139057,1881941,8509539,1,12295905,11613500,1508837,6880778,10953485,10560449,2535796,5562627,3079857,0,395204,0,8068253,4248207,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806160,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6394111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657629.12,0,11682595,5857095,0,1,2,1209828,751614,408115,853715,1,32244772,798455,235979,1735726,15350321
2019-01-01T06:00:00,26495794,509001,21333924,12643858,2944,1232,15778558,1952693,38451848,26949280,251053,8927592,9000957,34196872,17557360,11518169,0,16209242,740762,11888272,689078,1874985,0,1098078,0,2130057,1232787,17149160,1383924,7430790,2696819,17904404,1028,2689556,10596,390213,1573794,2630633,7769029,7768,0,312285,61922,254666,165350,573157,2,321859,172888,0,1836338,1092275,28790050,1318,0,157143,126690,23268,143490,3936,16680353,1989590,224176,897,35271680,3666218,89239,1513,8089399,7345989,11139062,1881944,8509539,1,12296053,11613500,1508846,6880778,10953487,10560581,2535950,5562807,3079858,0,395216,0,8068313,4248263,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806273,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6394332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657639.88,0,11682597,5857098,0,1,2,1209841,751614,408118,853730,1,32245204,798459,235981,1735726,15350321
2019-01-01T07:00:00,26496216,509002,21334266,12644034,2944,1232,15778753,1952700,38452796,26949344,251053,8927612,9000965,34196876,17557362,11519104,0,16209242,740762,11888278,689082,1874996,0,1098090,0,2130102,1232811,17150078,1383954,7430860,2696832,17904406,1028,2689564,10596,390214,1573835,2630683,7769134,7768,0,312286,61922,254667,165350,573161,2,321867,172888,0,1836351,1092350,28790692,1318,0,157157,126691,23268,143490,3936,16681204,1989621,224176,897,35273420,3666244,89239,1513,8089458,7345989,11139067,1881947,8509539,1,12296201,11613500,1508857,6880778,10953488,10560964,2536111,5562986,3079961,0,395228,0,8068371,4248319,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806393,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6394450.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657651.62,0,11682599,5857101,0,1,2,1209853,751615,408121,853735,1,32245636,798463,235983,1735726,15350321
2019-01-01T08:00:00,26496644,509004,21334664,12644209,2944,1232,15779073,1952708,38453756,26949638,251053,8927655,9000973,34196952,17557364,11521045,0,16209324,740762,11888284,689088,1875007,0,1098102,0,2130147,1232835,17151082,1384002,7430940,2696845,17904408,1028,2689571,10596,390214,1573876,2630737,7769239,7768,0,312287,61923,254667,165350,573165,2,321876,172888,0,1836376,1092423,28791312,1318,0,157172,126691,23268,143490,3936,16682120,1989660,224176,897,35275580,3666269,89239,1513,8089522,7345989,11139072,1881950,8509539,1,12296435,11613501,1508869,6880778,10953489,10561374,2536228,5563183,3080087,0,395242,0,8068436,4248381,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806532,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6394677.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657663.31,0,11682601,5857105,0,1,2,1209866,751615,408124,853740,1,32246132,798467,235986,1735726,15350321
2019-01-01T09:00:00,26497086,509005,21335060,12644384,2944,1232,15779439,1952718,38455096,26950210,251053,8927698,9000980,34197104,17557368,11523024,0,16210366,740762,11888290,689100,1875018,0,1098115,0,2130193,1232860,17152078,1384042,7431014,2696858,17904412,1028,2689579,10596,390215,1573916,2630786,7769344,7769,0,312289,61923,254668,165350,573169,2,321884,172888,0,1836407,1092496,28791972,1318,0,157187,126692,23268,143490,3936,16683018,1989708,224176,897,35277736,3666300,89239,1513,8089684,7345989,11139076,1881988,8509539,1,12296709,11613501,1508877,6880778,10953984,10561781,2536402,5563374,3080212,0,395255,0,8068601,4248441,4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1.32,5806702.5,2501.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8,985.08,6394930.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657676.19,0,11682855,5857326,0,1,2,1209879,751616,408126,853756,1,32246596,798471,235988,1735726,15350716
